model,task,trial,score,tree_bleu,visual_ssim,bm_position
claude-opus-4-7,auth_glassy-001,auth_glassy-001__EJuuT3B,0.8751572563676803,0.6946340235372453,0.7383801737096545,0.9013397906783807
claude-haiku-4-5,auth_glassy-001,auth_glassy-001__WTQ7ufM,0.6171618419501504,0.36265598968029034,0.7223259653419931,0.6314673005746081
claude-sonnet-4-6,auth_glassy-001,auth_glassy-001__mxwSaSZ,0.7847424310078311,0.45003136574543023,0.7335387722667397,0.7864954104417862
claude-sonnet-4-6,auth_glassy-001,auth_glassy-001__vSQz6bg,0.7129445883305974,0.26980227218838737,0.6859017941971142,0.7259148705260751
claude-opus-4-7,auth_glassy-001,auth_glassy-001__xAPLRZn,0.8204715743758975,0.5398431811705954,0.7393477624319434,0.801278765556576
claude-haiku-4-5,auth_glassy-001,auth_glassy-001__yQQXfGC,0.6215446037443242,0.3265605050353827,0.7226804914259416,0.6944676939303606
claude-haiku-4-5,dashboard_dense-001,dashboard_dense-001__3kEBdUd,0.540693536443201,0.191031793003141,0.5506833857067474,0.6971073836347782
claude-opus-4-7,dashboard_dense-001,dashboard_dense-001__6LsGxpx,0.7653672169713563,0.5703706475937015,0.5584290461869744,0.771508768723225
claude-sonnet-4-6,dashboard_dense-001,dashboard_dense-001__NGEpEVy,0.632450413196834,0.40526050611954395,0.5216731759469172,0.6658444165515942
claude-sonnet-4-6,dashboard_dense-001,dashboard_dense-001__QdwycU4,0.6760062711184678,0.4865668146910314,0.5118299421660005,0.7414080162179437
claude-opus-4-7,dashboard_dense-001,dashboard_dense-001__QpPHTH5,0.6889397279440661,0.3873887045031384,0.5729007918919513,0.8273868312980653
claude-haiku-4-5,dashboard_dense-001,dashboard_dense-001__YE2UmAW,0.5392012138473462,0.23522654303795512,0.5242347200976857,0.6145576183940871
claude-opus-4-7,portfolio_neobrut-001,portfolio_neobrut-001__Grq9ZmW,0.4748384791152602,0.2774534911531816,0.18785122936152324,0.18263127131126666
claude-sonnet-4-6,portfolio_neobrut-001,portfolio_neobrut-001__ZSRRDKy,0.4913898349057943,0.3609273781487404,0.20994212502322965,0.250250605068467
claude-haiku-4-5,portfolio_neobrut-001,portfolio_neobrut-001__bY3aEM3,0.3806737922648292,0.12827174978877762,0.1860711242205346,0.19158074773785141
claude-sonnet-4-6,portfolio_neobrut-001,portfolio_neobrut-001__btKMB4d,0.439889641094013,0.28189232593257363,0.18475510990819535,0.15914559509626353
claude-haiku-4-5,portfolio_neobrut-001,portfolio_neobrut-001__sQAPWqb,0.3859209009417357,0.1927602576209387,0.1766204062671665,0.16350374224643482
claude-opus-4-7,portfolio_neobrut-001,portfolio_neobrut-001__syVm6AL,0.48289865421171624,0.2865023671138222,0.1891303086266851,0.20239046304747935
