task,trial,score,model,sig_layout,sig_visual,sig_component,sig_text,sig_style
government__dark_native_clean-001,government__dark_native_clean-00__2Fp7LAu,0.5168194645344182,anthropic/claude-opus-4-7,0.525781310881059,0.428010949665816,0.7414173286131609,0.5075406332476077,0.9147792536249226
government__dark_native_clean-001,government__dark_native_clean-00__EX8oAkz,0.48987312081719125,anthropic/claude-opus-4-7,0.5324508271951147,0.42481128004707047,0.7250210109623533,0.5221867677272878,0.0016033146804083197
government__dark_native_clean-001,government__dark_native_clean-00__Mwr6VfL,0.4813527033674525,anthropic/claude-opus-4-7,0.49038697476041043,0.40782316951477005,0.7813716234368551,0.5029648496715123,0.0005719210755293887
government__dark_native_clean-001,government__dark_native_clean-00__PoYpWnV,0.5160802363624213,anthropic/claude-opus-4-7,0.5069941270406672,0.44199298178945423,0.7058460303304731,0.4817414509682399,0.9189723195579873
government__dark_native_clean-001,government__dark_native_clean-00__UkjgZQK,0.6014646232135492,anthropic/claude-opus-4-7,0.5820509584051615,0.4444214770509754,0.6974750552749767,0.5096403360348815,0.9928222403688567
government__dark_native_clean-001,government__dark_native_clean-00__akcToqw,0.5355319497613013,anthropic/claude-opus-4-7,0.5203191079165639,0.4485848363919532,0.7775707239616791,0.5204883947184896,0.9214649256895991
government__dark_native_clean-001,government__dark_native_clean-00__dUaX8tK,0.48567393289490945,anthropic/claude-opus-4-7,0.5235866115622076,0.40714102998453344,0.7492745344476324,0.5128651764851494,0.000502146935279709
government__dark_native_clean-001,government__dark_native_clean-00__nZb27zL,0.5178539419927669,anthropic/claude-opus-4-7,0.5402217797939228,0.4608345263453818,0.777933043542871,0.5334840168002061,0.04210463810982427
government__dark_native_clean-001,government__dark_native_clean-00__nn9gotu,0.5229595007034445,anthropic/claude-opus-4-7,0.5160209446131904,0.44301095625888065,0.7759006343893274,0.5140246220177497,0.9204023557284396
government__dark_native_clean-001,government__dark_native_clean-00__tVAmReV,0.5202854691628335,anthropic/claude-opus-4-7,0.5597096457776157,0.4293830986611561,0.7877020237345139,0.528776466392539,0.07271380099217156
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__6BT6UND,0.5370960000155421,anthropic/claude-opus-4-7,0.5707289397034278,0.4399411311536396,0.7134567172513384,0.6691786732230834,0.9168415749777102
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__FjVFihQ,0.6279679089203427,anthropic/claude-opus-4-7,0.5811133834619865,0.4493397714706543,0.7643015168152868,0.6693436928849928,0.8696501329884747
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__MfKWAss,0.6554818475877731,anthropic/claude-opus-4-7,0.5971824853318652,0.43534554873684705,0.7778058972198924,0.8327751497841631,0.8577761578891928
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__QZgxfaX,0.6154631727329427,anthropic/claude-opus-4-7,0.5784817107730326,0.45161845443440385,0.7334926930715318,0.6498760115779133,0.8437188869376095
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__QpnB2qd,0.6144701565401098,anthropic/claude-opus-4-7,0.5458758646233142,0.4545623344086501,0.7638759076327402,0.6479480048343579,0.8535591238444551
